iter	Logloss
0	0.6522112663
1	0.6188452647
2	0.5873967634
3	0.5635587731
4	0.5403254046
5	0.520940639
6	0.5055803073
7	0.4972944236
8	0.4864026626
9	0.47249432
10	0.4637080477
11	0.4547521225
12	0.4422717036
13	0.4344966219
14	0.424650281
15	0.413490065
16	0.405488929
17	0.4004887297
18	0.3959463439
19	0.3883977898
20	0.3840428442
21	0.3798599928
22	0.3766403261
23	0.3725271046
24	0.3696862544
25	0.3673761858
26	0.3634966916
27	0.3604013871
28	0.356239786
29	0.3539426967
30	0.3511919543
31	0.3460988819
32	0.3432807019
33	0.3390571688
34	0.337368463
35	0.3328836496
36	0.3268537747
37	0.3245004584
38	0.3233388223
39	0.3202541554
40	0.3187513204
41	0.3155075136
42	0.3122321429
43	0.3082508072
44	0.3052652164
45	0.3023627332
46	0.3000126305
47	0.2972764868
48	0.2943155094
49	0.2919600008
50	0.2892304588
51	0.2867933873
52	0.2837173151
53	0.2819318499
54	0.2787092435
55	0.2766177804
56	0.2733401427
57	0.2712596162
58	0.2686947445
59	0.2662449677
60	0.2632759686
61	0.2600476822
62	0.2573966139
63	0.2554943599
64	0.2532479173
65	0.2495018535
66	0.2472525211
67	0.244738346
68	0.2404221142
69	0.2367305335
70	0.2342403241
71	0.2313055544
72	0.2283045928
73	0.2270344139
74	0.224884955
75	0.2231453783
76	0.2201231914
77	0.2177089146
78	0.2138552296
79	0.2121730259
80	0.2107969448
81	0.208840332
82	0.206568454
83	0.2044579082
84	0.202986637
85	0.2012361488
86	0.200180963
87	0.1986548723
88	0.1962622319
89	0.1944110481
90	0.1926984265
91	0.1899745645
92	0.1885985456
93	0.1866057727
94	0.1848753637
95	0.1831710878
96	0.181790348
97	0.179410525
98	0.1778850945
99	0.1769189329
100	0.1746743463
101	0.1725458386
102	0.1704945841
103	0.1685395284
104	0.1675582201
105	0.1660351064
106	0.1643691705
107	0.1617114507
108	0.1610145289
109	0.1591980852
110	0.1574984928
111	0.1555672408
112	0.1543184615
113	0.1530964754
114	0.1516907112
115	0.1498069794
116	0.1489521385
117	0.1472181172
118	0.1462970594
119	0.1445982517
120	0.1438563008
121	0.1421954969
122	0.1409944994
123	0.1393446817
124	0.138313063
125	0.1379078519
126	0.1364396449
127	0.1346489482
128	0.1336826745
129	0.132964901
130	0.1314790936
131	0.1303209577
132	0.1290621512
133	0.1282408298
134	0.1273564802
135	0.1268300831
136	0.1262473967
137	0.1250622309
138	0.1244694426
139	0.1235450589
140	0.1224865723
141	0.121454555
142	0.1201020408
143	0.1187517937
144	0.1177357701
145	0.1167831359
146	0.1161302714
147	0.1146694261
148	0.1138173878
149	0.1128639937
150	0.1121406524
151	0.1117322151
152	0.1115203857
153	0.1112531763
154	0.1105382055
155	0.1093557677
156	0.1084548141
157	0.1074786502
158	0.1061448202
159	0.1055851652
160	0.1049341194
161	0.1046861298
162	0.1044562017
163	0.1041925858
164	0.103681404
165	0.1033156539
166	0.1023944279
167	0.1016452275
168	0.1014336971
169	0.1010085499
170	0.1000974009
171	0.09959449612
172	0.09864668866
173	0.09786530164
174	0.09687208526
175	0.09668899225
176	0.09623435507
177	0.09519505092
178	0.09446154536
179	0.09411223742
180	0.09394042969
181	0.09299953539
182	0.09252671845
183	0.09210608035
184	0.09122888682
185	0.09036135304
186	0.08985212054
187	0.08938900695
188	0.08894876285
189	0.088575427
190	0.08787891621
191	0.08735533422
192	0.08719955133
193	0.08684641935
194	0.08628447241
195	0.08578932159
196	0.08505514962
197	0.08419817243
198	0.08340733742
199	0.08276098757
200	0.08230790119
201	0.08190947241
202	0.08145585041
203	0.08082393724
204	0.07997254664
205	0.07910915453
206	0.07876674107
207	0.07774797712
208	0.07728595344
209	0.07686345937
210	0.07567798848
211	0.07504519716
212	0.07481013707
213	0.07437138772
214	0.07399006746
215	0.07345267782
216	0.07289363939
217	0.07257981904
218	0.07187492526
219	0.07141719896
220	0.07089013547
221	0.0703683534
222	0.07001983643
223	0.06972413978
224	0.06901018415
225	0.06838792451
226	0.06811492297
227	0.06762873436
228	0.06712151975
229	0.06686482955
230	0.06657252098
231	0.06587763572
232	0.06576974051
233	0.06563643475
234	0.06524578484
235	0.06500146983
236	0.06424508231
237	0.06406543965
238	0.06362211266
239	0.06312851264
240	0.06279391542
241	0.06227917107
242	0.0619212497
243	0.06162120586
244	0.06141934142
245	0.06092217893
246	0.06040538554
247	0.0602617038
248	0.06000731176
249	0.05981520049
250	0.05939299914
251	0.05891681282
252	0.05865585016
253	0.05854183275
254	0.05816793636
255	0.05790097606
256	0.05759804239
257	0.05735314817
258	0.05670545306
259	0.05641777817
260	0.0560759813
261	0.05547373246
262	0.05532803905
263	0.05499441964
264	0.05458178462
265	0.05429391666
266	0.05367586097
267	0.05326700016
268	0.05305540747
269	0.05278611787
270	0.05254895269
271	0.05222381592
272	0.05191861211
273	0.05173293133
274	0.05156575728
275	0.05110198352
276	0.05088507827
277	0.05069934456
278	0.05026109657
279	0.05013759068
280	0.0499517324
281	0.04954577076
282	0.04932121744
283	0.04918903584
284	0.0486531534
285	0.04848385869
286	0.04812184859
287	0.04772017498
288	0.04757589535
289	0.04738450031
290	0.04703271983
291	0.04664438676
292	0.04634503112
293	0.0462847589
294	0.04614028931
295	0.04592374841
296	0.04554912022
297	0.04527239741
298	0.04520650747
299	0.04515583895
300	0.04484125254
301	0.04471173345
302	0.0446403846
303	0.04438601435
304	0.04419589918
305	0.0440522299
306	0.04375383338
307	0.0435272715
308	0.04310287787
309	0.04274862484
310	0.04268162319
311	0.04248046252
312	0.04229329635
313	0.04201148208
314	0.04187768742
315	0.04168197009
316	0.04142593695
317	0.04126834169
318	0.04114224181
319	0.04074482198
320	0.04053884078
321	0.04040514888
322	0.03996580163
323	0.03970878134
324	0.03959394182
325	0.03939721244
326	0.03928519113
327	0.03901059209
328	0.03885661222
329	0.03870858951
330	0.03849703108
331	0.03824940584
332	0.03808963075
333	0.03775120638
334	0.03770393839
335	0.03752726652
336	0.03738616632
337	0.03713700275
338	0.03698311319
339	0.03679802408
340	0.03674259419
341	0.03658816591
342	0.03640388956
343	0.03627329301
344	0.03604624846
345	0.03592421863
346	0.03580882793
347	0.0357078272
348	0.03548195975
349	0.03532200405
350	0.03518090384
351	0.03503791031
352	0.03496007491
353	0.03487017885
354	0.03465449742
355	0.03453158632
356	0.03442386549
357	0.03431660866
358	0.03414587527
359	0.03382382763
360	0.03373162094
361	0.03356868199
362	0.03345225743
363	0.03334857863
364	0.0331878413
365	0.03296869395
366	0.0328198647
367	0.03252080489
368	0.03229638859
369	0.03219001614
370	0.03215782633
371	0.03198634245
372	0.03192960778
373	0.03178867262
374	0.03158557503
375	0.03146305318
376	0.03129829251
377	0.03126499721
378	0.03123362016
379	0.0311451005
380	0.03109275351
381	0.03104901995
